Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
160.100907326,10.12027,-6.22780099999998,-7.12275300000002,1.038105,-0.1611066,-0.01750517,-54.2505,-17.46862,1.521039
160.11090517,9.935666,-5.69363,-6.75692799999998,1.029181,-0.1530745,-0.02323459,-54.2505,-17.46862,1.521039
160.120903015,9.32033300000002,-5.218811,-6.26916200000001,1.017443,-0.1509338,-0.02943617,-54.2505,-17.46862,1.521039
160.130901337,8.52040099999998,-5.100106,-6.39110400000002,1.00801,-0.1420408,-0.04617218,-54.2505,-17.46862,1.521039
160.140899658,7.47433699999998,-5.040754,-6.45207400000002,1.001755,-0.1466518,-0.05860307,-53.86173,-18.22325,1.914878
160.150897503,6.24367199999998,-4.981401,-6.695957,0.9958441,-0.1434328,-0.06577223,-53.86173,-18.22325,1.914878
160.160895824,4.828408,-5.278163,-7.00081100000001,0.9920353,-0.1484684,-0.07677154,-53.86173,-18.22325,1.914878
160.170893669,3.16701,-5.87168699999998,-7.06178199999999,0.9763635,-0.1444747,-0.08440246,-53.86173,-18.22325,1.914878
160.180892468,1.25948,-6.99938200000001,-7.00081100000001,0.9700813,-0.1476549,-0.09970513,-53.86173,-18.22325,1.914878
160.190890312,-0.5249836,-7.94901899999999,-7.30566500000003,0.9593918,-0.1493414,-0.1016004,-53.8654,-18.21616,2.753382
160.200888157,-2.001781,-9.07671499999999,-8.28119799999998,0.9614756,-0.1566332,-0.1063879,-53.8654,-18.21616,2.753382
160.210886478,-2.74018,-10.0857,-8.829934,0.9731666,-0.1563891,-0.1049726,-53.8654,-18.21616,2.753382
160.220884323,-3.109379,-11.39146,-9.74449500000001,0.9741933,-0.1593546,-0.1126308,-53.8654,-18.21616,2.753382
160.230883122,-3.170913,-12.34109,-11.08585,0.9848575,-0.1561494,-0.1040359,-53.8654,-18.21616,2.753382
160.240880966,-3.109379,-13.29073,-12.91498,0.9979299,-0.1514343,-0.09496695,-53.46876,-19.35115,3.149248
160.250878811,-3.478579,-13.94361,-14.56119,0.9997549,-0.1444634,-0.08061463,-53.46876,-19.35115,3.149248
160.260876656,-4.278511,-14.47778,-16.26837,1.020143,-0.1401117,-0.07395124,-53.46876,-19.35115,3.149248
160.270875454,-5.693775,-14.71519,-17.91458,1.032795,-0.1386924,-0.05243774,-53.46876,-19.35115,3.149248
160.280873299,-7.724371,-15.19001,-19.31691,1.038045,-0.1327311,-0.04957697,-53.46876,-19.35115,3.149248
160.29087162,-10.43183,-15.90224,-20.29244,1.041422,-0.1306066,-0.03714043,-53.84718,-19.34688,3.984972
160.300869465,-12.89316,-16.0803,-20.84118,1.043077,-0.1407085,-0.0294835,-53.84718,-19.34688,3.984972
160.310868263,-13.38543,-16.0803,-21.14603,1.043774,-0.1518538,-0.02756754,-53.84718,-19.34688,3.984972
160.320866108,-12.0317,-15.42742,-21.08506,1.030454,-0.1691512,-0.03041132,-53.84718,-19.34688,3.984972
160.330863953,-8.58583600000001,-14.47778,-20.90215,1.014561,-0.179206,-0.0327739,-53.46626,-19.72115,4.376782
160.340862274,-4.093911,-13.29073,-19.92661,1.003438,-0.1838431,-0.03753908,-53.46626,-19.72115,4.376782
160.350860596,0.3980148,-11.92563,-18.21943,0.9853848,-0.1828385,-0.04803654,-53.46626,-19.72115,4.376782
160.360858917,4.766874,-11.0947,-16.08545,0.9685872,-0.1712674,-0.07481049,-53.46626,-19.72115,4.376782
160.370856762,7.53587,-11.62887,-13.34177,0.9431529,-0.1665605,-0.08960322,-53.46626,-19.72115,4.376782
160.380854607,10.42793,-11.0947,-11.93944,0.9612089,-0.1418409,-0.08246243,-52.68701,-21.23368,4.777457
160.390852451,11.90473,-10.44182,-10.72003,0.9657279,-0.123457,-0.1011395,-52.68701,-21.23368,4.777457
160.40085125,10.67406,-11.45081,-9.25672899999999,0.9460518,-0.1136453,-0.1015863,-52.68701,-21.23368,4.777457
160.410849094,9.44340000000003,-11.51016,-8.890904,0.9740242,-0.09793635,-0.09158901,-52.68701,-21.23368,4.777457
160.420847416,7.10513699999998,-11.62887,-9.01284600000001,0.9802693,-0.09360179,-0.1093083,-52.68701,-21.23368,4.777457
160.430845261,3.843876,-12.34109,-9.13478800000001,0.9979245,-0.09954829,-0.1069447,-52.30191,-21.98123,6.0098
160.440844059,0.890280700000001,-12.34109,-9.31770000000002,1.010391,-0.08852353,-0.09739775,-52.30191,-21.98123,6.0098
160.450841904,-2.678647,-12.16304,-10.29323,1.020148,-0.08941231,-0.1093789,-52.30191,-21.98123,6.0098
160.460839748,-6.370641,-12.87527,-10.781,1.016263,-0.08988728,-0.09980051,-52.30191,-21.98123,6.0098
160.470837593,-8.40123700000001,-12.63786,-11.45168,1.028118,-0.09840879,-0.1007761,-52.30191,-21.98123,6.0098
160.480836392,-9.38576900000002,-13.05332,-12.36624,1.024847,-0.1064722,-0.1251757,-52.65307,-23.12511,6.013103
160.490834236,-9.57036899999999,-14.29972,-12.2443,1.009884,-0.1140569,-0.1251477,-52.65307,-23.12511,6.013103
160.500832558,-7.78590499999999,-14.59649,-13.21983,1.027828,-0.1092017,-0.1113015,-52.65307,-23.12511,6.013103
160.510830402,-5.632242,-14.24037,-13.82954,1.023676,-0.09568617,-0.1122549,-52.65307,-23.12511,6.013103
160.520829201,-4.032378,-14.59649,-14.3173,1.016921,-0.09919051,-0.1088922,-52.65307,-23.12511,6.013103
160.530827046,-2.186381,-14.35908,-13.70759,1.022206,-0.09521173,-0.1103382,-52.26627,-23.87593,6.858444
160.54082489,-1.509515,-14.89325,-12.854,1.009711,-0.1048143,-0.123714,-52.26627,-23.87593,6.858444
160.550823212,-1.201849,-15.42742,-11.87847,1.022677,-0.09416474,-0.1031606,-52.26627,-23.87593,6.858444
160.560821533,-1.201849,-14.83389,-11.93944,1.048908,-0.06332511,-0.08215695,-52.26627,-23.87593,6.858444
160.570819855,-3.909311,-14.29972,-11.39071,1.019613,-0.06066461,-0.09981388,-52.26627,-23.87593,6.858444
160.5808177,-6.678307,-14.24037,-10.04935,1.003507,-0.05888992,-0.08351467,-51.14739,-23.85714,8.092292
160.590815544,-7.232106,-11.92563,-9.92740700000002,1.02795,-0.06260502,-0.06441329,-51.14739,-23.85714,8.092292
