---- Model: 3w05s_Larm_Causal_128-64-32-16-4 ----
Train Losses:
Epoch 1: 0.5942200043014182
Epoch 2: 0.34669331622854516
Epoch 3: 0.2724835497112992
Epoch 4: 0.2376168393699544
Epoch 5: 0.20644269680812405
Epoch 6: 0.1840971893891634
Epoch 7: 0.1719273468784055
Epoch 8: 0.15930938777371959
Epoch 9: 0.14658043859824174
Epoch 10: 0.13960858704466725
Epoch 11: 0.13049486211090494
Epoch 12: 0.12312223999303086
Epoch 13: 0.12429425359194274
Epoch 14: 0.10364736257265536
Epoch 15: 0.10271766132780227
Validation Losses:
Epoch 1: 0.3421147084432281
Epoch 2: 0.33329994580355726
Epoch 3: 0.31139424664720744
Epoch 4: 0.24592982242915495
Epoch 5: 0.19180083114875782
Epoch 6: 0.38623345654469576
Epoch 7: 0.12931374984521596
Epoch 8: 0.15043096599185646
Epoch 9: 0.21259471178260544
Epoch 10: 0.13576730774704604
Epoch 11: 0.3962982688200873
Epoch 12: 0.10517119039154182
Epoch 13: 0.1409083033627495
Epoch 14: 0.109962655700224
Epoch 15: 0.0961615105414331

