---- Model: cnn_lstm_128_run_4_larm ----
Train Losses:
Epoch 1: 0.045592259615659714
Epoch 2: 0.025258608162403107
Epoch 3: 0.015551037155091763
Epoch 4: 0.011637474410235882
Epoch 5: 0.009099145419895649
Epoch 6: 0.010069327428936958
Epoch 7: 0.010548689402639866
Epoch 8: 0.007422714959830046
Validation Losses:
Epoch 1: 0.038925810898355735
Epoch 2: 0.023170723907532397
Epoch 3: 0.015309028602244631
Epoch 4: 0.01254259242463357
Epoch 5: 0.012200211142127862
Epoch 6: 0.010496136404691037
Epoch 7: 0.009547421938999857
Epoch 8: 0.010236559371534901

SVM Test Accuracy: 94.23%
---- Model: cnn_lstm_128_run_4_larm ----
Train Losses:
Epoch 1: 0.03155846893787384
Epoch 2: 0.015112887136638165
Epoch 3: 0.013347748667001724
Epoch 4: 0.0138983353972435
Epoch 5: 0.014830457977950573
Epoch 6: 0.01037687435746193
Epoch 7: 0.009684775024652481
Epoch 8: 0.009661342017352581
Epoch 9: 0.009216858074069023
Epoch 10: 0.008197835646569729
Epoch 11: 0.007686099503189325
Epoch 12: 0.008208150044083595
Epoch 13: 0.005233012139797211
Epoch 14: 0.00642401073127985
Epoch 15: 0.0071023800410330296
Epoch 16: 0.008162262849509716
Epoch 17: 0.008905368857085705
Epoch 18: 0.008260971866548061
Epoch 19: 0.007325401064008474
Epoch 20: 0.00516399834305048
Epoch 21: 0.0069092256017029285
Epoch 22: 0.006866056472063065
Epoch 23: 0.005716681946069002
Epoch 24: 0.0045248218812048435
Epoch 25: 0.004597796592861414
Epoch 26: 0.00679771089926362
Epoch 27: 0.0038259895518422127
Epoch 28: 0.004787832032889128
Epoch 29: 0.005713699385523796
Epoch 30: 0.004439734388142824
Epoch 31: 0.005176094360649586
Epoch 32: 0.004703273996710777
Epoch 33: 0.0035360075999051332
Epoch 34: 0.00524428253993392
Epoch 35: 0.005068548489362001
Epoch 36: 0.005741483066231012
Epoch 37: 0.004267425742000341
Epoch 38: 0.006382737308740616
Epoch 39: 0.004047037102282047
Epoch 40: 0.0053311982192099094
Epoch 41: 0.005269125569611788
Epoch 42: 0.004141679964959621
Epoch 43: 0.004563388880342245
Epoch 44: 0.0027274717576801777
Epoch 45: 0.0031930790282785892
Epoch 46: 0.0023155221715569496
Epoch 47: 0.0038652701769024134
Epoch 48: 0.0033452727366238832
Epoch 49: 0.004002459347248077
Epoch 50: 0.0026666836347430944
Validation Losses:
Epoch 1: 0.03608704606541843
Epoch 2: 0.01701698763951425
Epoch 3: 0.01464985628717071
Epoch 4: 0.012565441051230032
Epoch 5: 0.01247070768471929
Epoch 6: 0.010276624035910042
Epoch 7: 0.009830947998041758
Epoch 8: 0.009404173435050962
Epoch 9: 0.008910043585140082
Epoch 10: 0.008276507573736045
Epoch 11: 0.008158505996159911
Epoch 12: 0.007906035432296983
Epoch 13: 0.007521269867194427
Epoch 14: 0.007350139136334933
Epoch 15: 0.006996633908390422
Epoch 16: 0.006646108289926055
Epoch 17: 0.006575043007456658
Epoch 18: 0.0062434448170258314
Epoch 19: 0.006141130807961561
Epoch 20: 0.00599671504319507
Epoch 21: 0.006126413267092304
Epoch 22: 0.005998425775780788
Epoch 23: 0.006111255785824219
Epoch 24: 0.0054477912823172985
Epoch 25: 0.005533546029152
Epoch 26: 0.005783730777185478
Epoch 27: 0.005337711762605368
Epoch 28: 0.005259252439378035
Epoch 29: 0.005615347753106611
Epoch 30: 0.005100592725911373
Epoch 31: 0.0054251772251336
Epoch 32: 0.0049341586362142585
Epoch 33: 0.005049733940270947
Epoch 34: 0.004860010676867494
Epoch 35: 0.00466231772836023
Epoch 36: 0.005030087414372176
Epoch 37: 0.004654062343164468
Epoch 38: 0.005152504228420348
Epoch 39: 0.004629530871856818
Epoch 40: 0.004645135610656049
Epoch 41: 0.004552688522820677
Epoch 42: 0.004906129568900818
Epoch 43: 0.004691703350901459
Epoch 44: 0.004459293421240751
Epoch 45: 0.00466783338326605
Epoch 46: 0.00490710779657405
Epoch 47: 0.00448337798102555
Epoch 48: 0.004358045158270373
Epoch 49: 0.0046858422243078
Epoch 50: 0.004575723980946473

SVM Test Accuracy: 95.68%
