---- Model: cnn_lstm_run_10_larm ----
Train Losses:
Epoch 1: 0.0437750481069088
Epoch 2: 0.017230462282896042
Epoch 3: 0.01189007330685854
Epoch 4: 0.016777530312538147
Epoch 5: 0.011555254459381104
Epoch 6: 0.011935931630432606
Epoch 7: 0.00802414957433939
Epoch 8: 0.007251059170812368
Epoch 9: 0.010065507143735886
Epoch 10: 0.01007144432514906
Epoch 11: 0.0071777598932385445
Epoch 12: 0.005617088172584772
Epoch 13: 0.006952853873372078
Epoch 14: 0.00844399444758892
Epoch 15: 0.00530425226315856
Epoch 16: 0.005691761150956154
Epoch 17: 0.010440739803016186
Epoch 18: 0.0051231347024440765
Epoch 19: 0.004888627212494612
Epoch 20: 0.004111957270652056
Epoch 21: 0.005098195746541023
Epoch 22: 0.004308508243411779
Epoch 23: 0.004222489427775145
Epoch 24: 0.004744037054479122
Epoch 25: 0.00468596862629056
Epoch 26: 0.005320094525814056
Epoch 27: 0.00437090964987874
Epoch 28: 0.004046592861413956
Epoch 29: 0.005595684517174959
Epoch 30: 0.0027202267665416002
Epoch 31: 0.003717050887644291
Epoch 32: 0.005324224010109901
Epoch 33: 0.003615590278059244
Epoch 34: 0.003801198909059167
Epoch 35: 0.0035429431591182947
Epoch 36: 0.0032369387336075306
Epoch 37: 0.0038066396955400705
Epoch 38: 0.0033090857323259115
Epoch 39: 0.00273442012257874
Epoch 40: 0.0033378752414137125
Epoch 41: 0.0028798975981771946
Epoch 42: 0.003913968801498413
Epoch 43: 0.0029138734098523855
Epoch 44: 0.003944350406527519
Epoch 45: 0.003679388901218772
Epoch 46: 0.0028064518701285124
Epoch 47: 0.003433401230722666
Validation Losses:
Epoch 1: 0.0417614041533695
Epoch 2: 0.023897478289388686
Epoch 3: 0.014850938433675409
Epoch 4: 0.013602083812421582
Epoch 5: 0.012047505480301495
Epoch 6: 0.010963022474654496
Epoch 7: 0.009399416258484306
Epoch 8: 0.00877013050150374
Epoch 9: 0.008330490443508672
Epoch 10: 0.007681209349637668
Epoch 11: 0.007686234979654922
Epoch 12: 0.007105405797152594
Epoch 13: 0.006610973425065375
Epoch 14: 0.006457161574997233
Epoch 15: 0.006171384588685765
Epoch 16: 0.0058404751884398535
Epoch 17: 0.006106936839040923
Epoch 18: 0.006006285388297441
Epoch 19: 0.005327012740129643
Epoch 20: 0.005096162726794073
Epoch 21: 0.004986368356207262
Epoch 22: 0.004963261763674479
Epoch 23: 0.00499948333642539
Epoch 24: 0.005054187711199887
Epoch 25: 0.004791640518334533
Epoch 26: 0.004903812333603616
Epoch 27: 0.005091922779983087
Epoch 28: 0.004620112401592076
Epoch 29: 0.004528170278095421
Epoch 30: 0.004497630001094188
Epoch 31: 0.004527586543236599
Epoch 32: 0.004521581949609835
Epoch 33: 0.004400405728178236
Epoch 34: 0.004579790548602752
Epoch 35: 0.004492830518889888
Epoch 36: 0.004328391716861703
Epoch 37: 0.004310611889955499
Epoch 38: 0.004253433185078861
Epoch 39: 0.004229635439425743
Epoch 40: 0.004018105604509038
Epoch 41: 0.00412919315477966
Epoch 42: 0.003911623653551471
Epoch 43: 0.00396131391117874
Epoch 44: 0.004120229595051369
Epoch 45: 0.004202028755335072
Epoch 46: 0.004030837282705084
Epoch 47: 0.004050422204768751

SVM Test Accuracy: 95.62%
