---- Model: cnn_lstm_run_10_rarm ----
Train Losses:
Epoch 1: 0.028565406799316406
Epoch 2: 0.01360390055924654
Epoch 3: 0.019628603011369705
Epoch 4: 0.016954921185970306
Epoch 5: 0.011867642402648926
Epoch 6: 0.009416586719453335
Epoch 7: 0.008630391210317612
Epoch 8: 0.008713224902749062
Epoch 9: 0.008004708215594292
Epoch 10: 0.008514663204550743
Epoch 11: 0.005710512399673462
Epoch 12: 0.007214905694127083
Epoch 13: 0.0055642747320234776
Epoch 14: 0.006108351983129978
Epoch 15: 0.0036941180005669594
Epoch 16: 0.006263937801122665
Epoch 17: 0.005051319021731615
Epoch 18: 0.005873965099453926
Epoch 19: 0.004442816134542227
Epoch 20: 0.005257423501461744
Epoch 21: 0.0038399756886065006
Epoch 22: 0.005165104754269123
Epoch 23: 0.004185870755463839
Epoch 24: 0.004282417241483927
Epoch 25: 0.003958472982048988
Epoch 26: 0.004466813988983631
Epoch 27: 0.0034457670990377665
Epoch 28: 0.004636064171791077
Epoch 29: 0.004606524482369423
Epoch 30: 0.0039132689125835896
Epoch 31: 0.004019476007670164
Epoch 32: 0.004071345552802086
Epoch 33: 0.0034722716081887484
Epoch 34: 0.00428791856393218
Epoch 35: 0.004197451286017895
Epoch 36: 0.004127759952098131
Epoch 37: 0.003637708257883787
Epoch 38: 0.003747288603335619
Epoch 39: 0.004529827740043402
Epoch 40: 0.0022648766171187162
Epoch 41: 0.003709984477609396
Epoch 42: 0.002723871497437358
Epoch 43: 0.003475752891972661
Epoch 44: 0.002989050932228565
Epoch 45: 0.0034243776462972164
Epoch 46: 0.0031535516027361155
Epoch 47: 0.0029184382874518633
Epoch 48: 0.0034769170451909304
Epoch 49: 0.0036969417706131935
Validation Losses:
Epoch 1: 0.03057735224122187
Epoch 2: 0.018202867050545454
Epoch 3: 0.015487961343903196
Epoch 4: 0.013378073860893977
Epoch 5: 0.01265544654390693
Epoch 6: 0.010812861449296201
Epoch 7: 0.009961073166406587
Epoch 8: 0.009389503208464546
Epoch 9: 0.008524661833065874
Epoch 10: 0.008046972424107016
Epoch 11: 0.007654994427651347
Epoch 12: 0.007161392896151975
Epoch 13: 0.0067446811254110945
Epoch 14: 0.0068957853758443155
Epoch 15: 0.006303758313175955
Epoch 16: 0.006298056009346535
Epoch 17: 0.006048106759212618
Epoch 18: 0.005877173408089358
Epoch 19: 0.00549124706046954
Epoch 20: 0.005597031887147992
Epoch 21: 0.005415389129576861
Epoch 22: 0.005643397895197223
Epoch 23: 0.005086959492741574
Epoch 24: 0.006215153586012494
Epoch 25: 0.004960131320505884
Epoch 26: 0.0050727046514070645
Epoch 27: 0.005174930726833574
Epoch 28: 0.004753320690053107
Epoch 29: 0.004800374789889396
Epoch 30: 0.004954649012513301
Epoch 31: 0.00480779887562522
Epoch 32: 0.004671194474142484
Epoch 33: 0.004629551309225603
Epoch 34: 0.004591524627712468
Epoch 35: 0.004502483680450394
Epoch 36: 0.004699021353304746
Epoch 37: 0.004536024587977329
Epoch 38: 0.004522934126923722
Epoch 39: 0.0044474661791995395
Epoch 40: 0.0043369149946779284
Epoch 41: 0.004457874227529026
Epoch 42: 0.004310865426756824
Epoch 43: 0.0044494451940892505
Epoch 44: 0.004231391676625637
Epoch 45: 0.004279690254845423
Epoch 46: 0.004410497690311822
Epoch 47: 0.004381078459586937
Epoch 48: 0.004402122487879591
Epoch 49: 0.004335728585663789

SVM Test Accuracy: 94.47%
